"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
32060,Economía de la empresa,EEMP,,2º de Bachillerato (Ciencias y Tecnología)
32062,Geografía,GEO,,2º de Bachillerato (Ciencias y Tecnología)
32064,Griego II,GRI2,,2º de Bachillerato (Ciencias y Tecnología)
32066,Historia del arte,HA,,2º de Bachillerato (Ciencias y Tecnología)
32068,Latín II,LAT2,,2º de Bachillerato (Ciencias y Tecnología)
32070,Literatura universal,LITU,,2º de Bachillerato (Ciencias y Tecnología)
32072,Matemáticas aplicadas a las ciencias sociales II,MACS2,,2º de Bachillerato (Ciencias y Tecnología)
28683,Sistemas de la aeronave I,SAI,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28684,"Sist. De Instrumentación, Registro de Datos de Vuelo y Mant. Cent. De Aeronaves",SIA,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28685,Formación en centros de trabajo,FCT,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
28686,"Computadores de aeronaves, teoría de operación y mantenimiento de los mismos",CAV,,CFGS (Modular presencial) (Mantenimiento de Aviónica)
30762,Latín I,LAT1,,1º de Bachillerato (Ciencias y Tecnología)
29443,Biología y Geología,BYG,,3º de ESO
29445,Física y Química,FYQ,,3º de ESO
29447,"Ciencias Sociales, Geografía e Historia",CSO,,3º de ESO
29449,Educación Física,EFI,,3º de ESO
29451,Educación Plástica y Visual,EPV,,3º de ESO
29453,Lengua Castellana y Literatura,LCL,,3º de ESO
29455,Inglés,ING,,3º de ESO
29457,Francés,FRA,,3º de ESO
29459,Matemáticas,MAT,,3º de ESO
29461,Música,MUS,,3º de ESO
29463,Tecnologías,TEC,,3º de ESO
29465,Francés (Segundo Idioma),FR2OP,,3º de ESO
29467,Cultura Clásica,CLA,,3º de ESO
29469,Taller Tecnológico y Profesional,TTPOP,,3º de ESO
29471,Religión Católica,REL,,3º de ESO
29473,Religión Evangélica,REV,,3º de ESO
29475,Religión Islámica,RIS,,3º de ESO
29477,Religión Judía,RJU,,3º de ESO
29479,Historia y Cultura de las Religiones,HCR,,3º de ESO
29481,Ciencias de la Naturaleza,CNA,,1º de ESO
29483,"Ciencias Sociales, Geografía e Historia",CSO,,1º de ESO
29485,Educación Física,EFI,,1º de ESO
29487,Educación Plástica y Visual,EPV,,1º de ESO
29489,Lengua Castellana y Literatura,LCL,,1º de ESO
29491,Inglés,ING,,1º de ESO
29493,Francés,FRA,,1º de ESO
29495,Matemáticas,MAT,,1º de ESO
29497,Música,MUS,,1º de ESO
29499,Tecnologías,TEC,,1º de ESO
29501,Francés (Segundo Idioma),FR2OP,,1º de ESO
29503,Taller Tecnológico y Profesional,TTPOP,,1º de ESO
30784,Competencias básicas,CB,,1º de PCPI - Auxiliar Dependiente de Comercio
30796,Actividad física y deporte,AFD,,1º de PCPI - Auxiliar Dependiente de Comercio
30810,Módulo definido por el centro,MDC,,1º de PCPI - Auxiliar Dependiente de Comercio
30812,Operaciones auxiliares en el punto de venta,OAPV,,1º de PCPI - Auxiliar Dependiente de Comercio
30816,Preparación de pedidos,PDP,,1º de PCPI - Auxiliar Dependiente de Comercio
30820,Manipulación y movimientos con transpalés y carretillas de mano,MMTC,,1º de PCPI - Auxiliar Dependiente de Comercio
